year,title,type,amount,organization
2019,Graduate Travel Award,travel,750,"School of Natural Resources, University of Nebraska-Lincoln"
2019,Graduate Travel Fund Recipient,travel,750,University of Nebraska-Lincoln
2019,Conference Travel Award,travel,650,Association for Women in Mathematical Biology
2019,Graduate Travel Award,travel,1050,"School of Natural Resources, University of Nebraska-Lincoln"
2018,Meritorous Ph.D. Student Award,award,500,"School of Natural Resources, University of Nebraska-Lincoln"
2018,Research and Travel Award,research ,5500,National Academic of Sciences
2018,Travel Award,travel,550,National Science Foundation and NimBios
2018,Travel Award,travel,750,"Center for Great Plains Studies, University of Nebraska-Lincoln"
2017,Travel Award,travel,750,"Center for Great Plains Studies, University of Nebraska-Lincoln"
2016,Travel Award,travel,750,"Center for Great Plains Studies, University of Nebraska-Lincoln"
2015,Travel Award,travel,750,"Center for Great Plains Studies, University of Nebraska-Lincoln"
2017,Travel Award,travel,500,"Kellogg Biological Station, Michigan State University"
2018,Nelson Memorial Fellowship,fellowship,1200,"Institute for Agriculture and Natural Resources, Unversity of Nebraska-Lincoln"
2017,Nelson Memorial Fellowship,fellowship,750,"Institute for Agriculture and Natural Resources, Unversity of Nebraska-Lincoln"
2016,Nelson Memorial Fellowship,fellowship,1267,"Institute for Agriculture and Natural Resources, Unversity of Nebraska-Lincoln"
2017,Traveling Scholar Award,award,0,Big Ten Academic Alliance
2016,"Second Place, Elevator Speech Contest",award,,"School of Natural Resources, University of Nebraska-Lincoln"
2016,Othmer Fellowshi,fellowship,24000,University of Nebraska-Lincoln
2016,Fling Fellowship,fellowship,20000,University of Nebraska-Lincoln
2016,Travel Award,travel,250,American Ornithologists' Union
2016,Excellence in Science Award,membership,0,AAAS and Science Program for Excellence in Science
2016,Gradute Fellow,fellowship,0,"Center for Great Plains Studies, University of Nebraska-Lincoln"
2015,Resilience Alliance Young Scholar (RAYS),fellowship,0,Resilience Alliance
2015,Diversity Travel Award,travel,650,National Science Foundation
2015,Travel Award,travel,350,"Graduat Student Council, University of Florida"
2015,Travel Award,travel,350,"Office of Research, University of Florida"
2014,Travel Award,travel,250,"Department of Wildlife Ecology and Conservation, University of Florida"
2013,Travel Award,travel,250,"Department of Wildlife Ecology and Conservation, University of Florida"
2013,Travel Award,travel,750,"Office of the Dean, Institute of Food and Agricultural Sciences, University of Florida"
2013,Membership Award,membership,0,American Ornithologists' Union
2013,Internship for Undergraduate Research,research ,2200,"IFAS Extension, University of Florida"
2013,Undergraduate Research Grant,research ,550,"Ordway-Swisher Biological Station, University of Florida"
