Description,Year,Credit Hours,Teaching Institution,Level,Category,Location,In-class Hours,Accrediting Institution
Enthnobotany,2009,3,University of Florida,undergraduate,plants,"Gainesville, Florida",,University of Florida
Calculus/Analytical Geometry  II,2010,5,University of Florida,undergraduate,stem_other,"Gainesville, Florida",,University of Florida
Florida Environmental Systems,2009,3,University of Florida,undergraduate,environmental,"Gainesville, Florida",,University of Florida
Organic Chemistry I,2010,4,University of Florida,undergraduate,stem_other,"Gainesville, Florida",,University of Florida
Physics with Calculus,2011,4,University of Florida,undergraduate,stem_other,"Gainesville, Florida",,University of Florida
Statistical Methods,2009,3,University of Florida,undergraduate,stats,"Gainesville, Florida",,University of Florida
Hurricane Ecology,2010,1,University of Florida,undergraduate,ecology,"Gainesville, Florida",,University of Florida
General Ecology,2011,4,University of Florida,undergraduate,ecology,"Gainesville, Florida",,University of Florida
Coastal Disturbance Ecology,2011,2,University of Florida,undergraduate,ecology,"Cedar Key, Florida",,University of Florida
General Ecology,2011,4,University of Florida,undergraduate,ecology,"Gainesville, Florida",,University of Florida
Practical Plant Taxonomy,2011,3,University of Florida,undergraduate,plants,"Gainesville, Florida",,University of Florida
Principles of Entomology,2011,3,University of Florida,undergraduate,wildlife,"Gainesville, Florida",,University of Florida
,,,,,,,,
Introduction to Soils in the Environment,2011,4,University of Florida,undergraduate,ecology,"Gainesville, Florida",,University of Florida
Wildlife of Florida,2012,4,University of Florida,undergraduate,wildlife,"Gainesville, Florida",,University of Florida
Conservation Genetics,2012,4,University of Florida,undergraduate,wildlife,"Gainesville, Florida",,University of Florida
Avian Biology,2012,4,University of Florida,undergraduate,wildlife,"Gainesville, Florida",,University of Florida
Local Flora (Florida),2012,3,University of Florida,undergraduate,plants,"Gainesville, Florida",,University of Florida
Technical Writing,2012,3,University of Florida,undergraduate,sci_prof_dev,"Gainesville, Florida",,University of Florida
Maps & Graphs,2012,4,University of Florida,undergraduate,gis,"Gainesville, Florida",,University of Florida
Ecology of Bird Introductions,2012,3,University of Florida,undergraduate,wildlife,"Gainesville, Florida",,University of Florida
Quantitative Wildlife Ecology,2012,3,University of Florida,undergraduate,stats; wildlife,"Gainesville, Florida",,University of Florida
Wildlife Behavior ,2012,3,University of Florida,undergraduate,wildife,"Gainesville, Florida",,University of Florida
Society and the Natural Resources,2012,3,University of Florida,undergraduate,ecology,"Gainesville, Florida",,University of Florida
Landscape Ecology and Conservation,2012,3,University of Florida,undergraduate,ecology,"Gainesville, Florida",,University of Florida
Wildlife Population Ecology,2012,3,University of Florida,undergraduate,wildlife; stats,"Gainesville, Florida",,University of Florida
Avian Field Research ,2012,3,University of Florida,undergraduate,wildlife; sci_prof_dev,"Gainesville, Florida",,University of Florida
Research Design in Wildlife Ecology,2013,3,University of Florida,graduate,research,"Gainesville, Florida",,University of Florida
Biometry,2013,3,University of Florida,graduate,stats; data,"Gainesville, Florida",,University of Florida
Administration in the Natural Resources ,2014,3,University of Florida,graduate,sci_prof_dev,"Gainesville, Florida",,University of Florida
Multivariate Statistics in the Life Sciences,2014,3,University of Florida,graduate,stats,"Gainesville, Florida",,University of Florida
